"id","image_url","purchase_url","brand","info","retailer","created_at","updated_at","name","price","price_label","unbranded_name","view_count","alt_image_url_1","alt_image_url_2","alt_image_url_3","clothing_type","gender","in_stock","product_source","sale_price","sale_price_label","sale_price_range_label","is_verified","audiences","categories","age","raw_categories","colors","range","n"
"2000000295354","products/2000000295354.jpg","https://click.linksynergy.com/link?id=9sWLFDwBVak&offerid=357944.25120149&type=15&murl=https%3A%2F%2Fshop.nordstrom.com%2FS%2F5383742%3Futm_source%3Drakuten%26utm_medium%3Daffiliate%26utm_campaign%3Ddatafeed%26utm_content%3DWomen%3ASmall%2520Leather%2520Goods%3ACases__Covers%26utm_term%3D5910529%26utm_channel%3Daffiliate_ret_p%26sp_source%3Drakuten%26sp_campaign%3Ddatafeed","Kate Spade New York","Fanciful sparkle-accented clovers shaped from signature spades cover a case designed to keep your tech safe from scrapes and scuffs. Style Name: Kate Spade New York Mirror Spade Clover Toss Iphone X/xs Case. Style Number: 5910529. Available in stores.","NORDSTROM","2019-11-11 22:00:17.55033+00","2019-12-12 20:23:14.872495+00","Kate Spade New York Mirror Spade Clover Toss Iphone X/xs Case -","45.00",,"Kate Spade New York Mirror Spade Clover Toss Iphone X/xs Case -","0","","","",,"female",,"rakuten","45.00",,,"false",,"{women_accessory,women_all,women_tech_accessories}",,,"{grey}","1","1"
"2000000423261","products/2000000423261.jpg","https://click.linksynergy.com/link?id=9sWLFDwBVak&offerid=357944.26176596&type=15&murl=https%3A%2F%2Fshop.nordstrom.com%2FS%2F5433655%3Futm_source%3Drakuten%26utm_medium%3Daffiliate%26utm_campaign%3Ddatafeed%26utm_content%3DWomen%3AJewelry%3AEarring%26utm_term%3D5943776%26utm_channel%3Daffiliate_ret_p%26sp_source%3Drakuten%26sp_campaign%3Ddatafeed","ALLSAINTS","Add a touch of sparkle and shine to your lobe and cartilage with this fashion-forward set that includes a gleaming hexagonal cuff and a sparkling stud. Style Name: Allsaints Wide Ear Cuff & Stud Set. Style Number: 5943776. Available in stores.","NORDSTROM","2019-11-21 18:36:46.676849+00","2019-12-11 22:01:02.225163+00","Women's Allsaints Wide Ear Cuff & Stud Set","35.00",,"Women's Allsaints Wide Ear Cuff & Stud Set","0","products/2000000423261_1.jpg","","",,"female","true","rakuten","35.00",,,"true",,"{women_accessory,women_all,women_earrings}",,,"{beige,grey}","1","2"
"2000000247122","products/2000000247122.jpg","https://click.linksynergy.com/link?id=9sWLFDwBVak&offerid=648401.790824425614&type=15&murl=https%3A%2F%2Fwww.bloomingdales.com%2Fshop%2Fproduct%2Fmichael-aram-forest-leaf-tidbit-plate%3FID%3D992472%26PartnerID%3DLINKSHARE%26cm_mmc%3DLINKSHARE-_-n-_-n-_-n","Michael Aram","Like lush piles of fallen leaves that decorate the forest floor, delicate leaf motifs lend subtle texture and detail to uniformly white Michael Aram dinnerware.","Bloomingdale's","2019-11-11 21:26:47.597619+00","2019-12-12 19:06:38.592483+00","Michael Aram Forest Leaf Tidbit Plate","22.00",,"Michael Aram Forest Leaf Tidbit Plate","0","","","",,"unisex","true","rakuten",,,,"true",,"{women_clothing,women_all,women_sweater,men_clothing,men_all,men_swimwear}",,,"{grey,white}","1","3"
"2000000236484","products/2000000236484.jpg","https://click.linksynergy.com/link?id=9sWLFDwBVak&offerid=680571.24873&type=15&murl=https%3A%2F%2Fwww.bergdorfgoodman.com%2Fp%2Fagraria-bitter-orange-perfumed-burning-sticks-prod8840006","Agraria","Agraria Bitter Orange Perfumed Burning Sticks Details Agraria perfumed burning sticks are infused with the finest botanicals and essential oils from around the world. Set these luxuriously fragrant sticks in your favorite bowl or vase for a chic, lavish display. The original, signature scent of Agraria blends clove, fragrant rose, and the zest of bitter orange. Contains 40 long-lasting incense tapers. Approximate burn time: 40 minutes each. Presented in a sleeved faux bois box. Designer About.","Bergdorf Goodman","2019-11-21 18:41:55.096425+00","2019-12-12 22:54:35.521831+00","Bitter Orange Perfumed Burning Sticks","30.00",,"Bitter Orange Perfumed Burning Sticks","0","","","",,"female","true","rakuten",,,,"true",,"{women_accessory,women_all,women_tech_accessories}",,,"{yellow,brown}","1","4"
"2000000285489","products/2000000285489.jpg","https://click.linksynergy.com/link?id=9sWLFDwBVak&offerid=357944.25133389&type=15&murl=https%3A%2F%2Fshop.nordstrom.com%2FS%2F5384180%3Futm_source%3Drakuten%26utm_medium%3Daffiliate%26utm_campaign%3Ddatafeed%26utm_content%3DWomen%3ABags%3ABackpack%26utm_term%3D5910983%26utm_channel%3Daffiliate_ret_p%26sp_source%3Drakuten%26sp_campaign%3Ddatafeed","Rip Curl","Get ready to hit the books or the beach with this block-printed canvas backpack. Style Name: Rip Curl Coastal Tides Backpack. Style Number: 5910983. Available in stores.","NORDSTROM","2019-11-21 18:42:23.590126+00","2019-12-12 22:56:03.027645+00","Rip Curl Coastal Tides Backpack -","44.95",,"Rip Curl Coastal Tides Backpack -","0","","","",,"female","true","rakuten","44.95",,,"true",,"{women_bag,women_all,women_backpacks}",,,"{blue}","1","5"
"2000000313324","products/2000000313324.jpg","https://click.linksynergy.com/link?id=9sWLFDwBVak&offerid=357944.3214083&type=15&murl=https%3A%2F%2Fshop.nordstrom.com%2FS%2F3214083%3Futm_source%3Drakuten%26utm_medium%3Daffiliate%26utm_campaign%3Ddatafeed%26utm_content%3DWomen%3ASkin_Body%2520Treatment%3ACleanser%26utm_term%3D385533%26utm_channel%3Daffiliate_ret_p%26sp_source%3Drakuten%26sp_campaign%3Ddatafeed","Elemis","What it is: A luxurious cream wash that takes you on an escape to paradise. What it does: Advanced body-care technology provides an exceptionally skin-friendly formulation that completely cleanses the skin without stripping your protective surface oils. The unique and rich infusion of exotic Tahitian monoi oil-a traditional blend of tiare flowers soaked in copra oil-has been fragranced with frangipani flowers to leave the skin feeling beautifully","NORDSTROM","2019-11-11 22:16:07.630958+00","2019-12-12 21:09:23.554874+00","Elemis Frangipani Monoi Shower Cream","40.00",,"Elemis Frangipani Monoi Shower Cream","0","","","",,"female","true","rakuten","40.00",,,"true",,"{women_clothing,women_all,women_swimwear}",,,"{black}","1","6"
"2000000846347","products/2000000846347.jpg","https://prf.hn/click/camref:1011l45uW/creativeref:1011l19360/destination:https://www.farfetch.com/shopping/women/rossignol-logo-gloves-item-14377041.aspx?fsb=1","ROSSIGNOL","Multicolour logo gloves from Rossignol featuring a slip-on style and elasticated cuffs.","Farfetch","2019-12-30 18:53:25.663331+00","2020-01-09 02:36:54.214033+00","Rossignol - logo gloves - women - Spandex/Elastane - One Size - Black","35.00",,"Rossignol - logo gloves - women - Spandex/Elastane - One Size - Black","0","","","",,"female","true","rakuten","35.00",,,"true",,"{women_accessory,women_all,women_gloves}",,,"{black}","1","7"
"2000000304837","products/2000000304837.jpg","https://click.linksynergy.com/link?id=9sWLFDwBVak&offerid=357944.23296142&type=15&murl=https%3A%2F%2Fshop.nordstrom.com%2FS%2F5281716%3Futm_source%3Drakuten%26utm_medium%3Daffiliate%26utm_campaign%3Ddatafeed%26utm_content%3DWomen%3ASkin_Body%2520Treatment%3AMask%26utm_term%3D5848119%26utm_channel%3Daffiliate_ret_p%26sp_source%3Drakuten%26sp_campaign%3Ddatafeed","Patchology","What it is: A kit full of patchology's best-kept secret weapons so you can rock all the glow and dewiness without unzipping your makeup bag. Kit includes:- FlashPatch Rejuvenating 5-Minute Eye Gels (1 pair): an eye treatment that works to de-puff, hydrate, brighten and smooth the undereye area- MoodPatch Down Time Tea-Infused Aromatherapy Eye Gels (1 pair): a pair of 10-minute eye gel masks targeted to revive the eye area- FlashMasque Hydrate","NORDSTROM","2019-11-21 18:21:47.173492+00","2019-12-12 22:00:48.277056+00","Patchology No Makeup Day Skin Perfecting Kit (Nordstrom Exclusive) ($45 Value)","30.00",,"Patchology No Makeup Day Skin Perfecting Kit (Nordstrom Exclusive) ($45 Value)","0","","","",,"unisex","true","rakuten","30.00",,,"true",,"{men_luggage,men_bag,men_all,women_luggage,women_bag,women_all,luggage}",,,"{beige,yellow}","1","8"
"2000000181552","products/2000000181552.jpg","https://click.linksynergy.com/link?id=9sWLFDwBVak&offerid=357944.17961096&type=15&murl=https%3A%2F%2Fshop.nordstrom.com%2FS%2F4978863%3Futm_source%3Drakuten%26utm_medium%3Daffiliate%26utm_campaign%3Ddatafeed%26utm_content%3DMen%3AHosiery%3ASocks%26utm_term%3D5638458%26utm_channel%3Daffiliate_ret_p%26sp_source%3Drakuten%26sp_campaign%3Ddatafeed","Stance","It's no puzzle box that opens up a scary alternate dimension, but these socks are still plenty comfy to keep toes cozy through a bone-chilling slasher flick. Style Name: Stance Hellraiser Socks. Style Number: 5638458. Available in stores.","NORDSTROM","2019-11-11 21:11:00.346958+00","2019-12-11 23:18:45.505085+00","Men's Stance Hellraiser Socks","20.00",,"Men's Stance Hellraiser Socks","0","","","",,"male","true","rakuten","13.98",,,"true",,"{men_clothing,men_all,men_intimates}",,,"{black}","1","9"
"2000000066516","products/2000000066516.jpg","https://click.linksynergy.com/link?id=9sWLFDwBVak&offerid=357944.17736531&type=15&murl=https%3A%2F%2Fshop.nordstrom.com%2FS%2F4966842%3Futm_source%3Drakuten%26utm_medium%3Daffiliate%26utm_campaign%3Ddatafeed%26utm_content%3DMen%3AShoes%3ASlippers%26utm_term%3D5629823%26utm_channel%3Daffiliate_ret_p%26sp_source%3Drakuten%26sp_campaign%3Ddatafeed","Minnetonka","Rustic plaid marks a cozy slipper with a padded footbed for exceptional comfort. Style Name: Minnetonka Franklin Scuff Slipper (Men). Style Number: 5629823. Available in stores.","NORDSTROM","2019-11-11 20:43:33.12978+00","2019-12-12 18:45:44.626051+00","Men's Minnetonka Franklin Scuff Slipper","39.95",,"Men's Minnetonka Franklin Scuff Slipper","0","products/2000000066516_1.jpg","","",,"male","true","rakuten","39.95",,,"true",,"{men_shoe,men_all,men_slides}",,,"{brown,black}","1","10"
